Date_Time;Kelurahan
01/03/22 04.00;Kramat Pela
01/03/22 05.00;Kramat Pela
01/03/22 06.00;Kramat Pela
01/03/22 07.00;Melawai
01/03/22 08.00;Pejaten Timur
01/03/22 09.00;Pejaten Timur
01/03/22 12.00;Pejaten Timur
01/03/22 15.00;Mampang Prapatan
01/03/22 16.00;Pulo
01/03/22 17.00;Gandaria Utara
01/03/22 20.00;Kramat Pela
01/03/22 22.00;Kramat Pela
02/03/22 05.00;Kramat Pela
02/03/22 06.00;Kramat Pela
02/03/22 07.00;Melawai
02/03/22 08.00;Mampang Prapatan
02/03/22 09.00;Pejaten Timur
02/03/22 10.00;Pejaten Timur
02/03/22 13.00;Pejaten Timur
02/03/22 15.00;Mampang Prapatan
02/03/22 16.00;Pulo
02/03/22 17.00;Kramat Pela
02/03/22 18.00;Kramat Pela
02/03/22 20.00;Kramat Pela
03/03/22 09.00;Pejaten Timur
03/03/22 12.00;Pejaten Timur
03/03/22 14.00;Pejaten Timur
03/03/22 15.00;Mampang Prapatan
03/03/22 16.00;Gandaria Utara
03/03/22 17.00;Kramat Pela
03/03/22 18.00;Kramat Pela
03/03/22 19.00;Melawai
03/03/22 20.00;Petogogan
03/03/22 21.00;Kramat Pela
03/03/22 22.00;Kramat Pela
03/03/22 23.00;Kramat Pela
04/03/22 05.00;Kramat Pela
04/03/22 06.00;Kramat Pela
04/03/22 07.00;Melawai
04/03/22 08.00;Pejaten Timur
04/03/22 09.00;Pejaten Timur
04/03/22 10.00;Pejaten Timur
04/03/22 13.00;Pejaten Timur
04/03/22 15.00;Jati Padang
04/03/22 16.00;Pulo
04/03/22 17.00;Melawai
04/03/22 18.00;Kramat Pela
04/03/22 20.00;Kramat Pela
05/03/22 05.00;Kramat Pela
05/03/22 06.00;Kramat Pela
05/03/22 07.00;Melawai
05/03/22 08.00;Mampang Prapatan
05/03/22 09.00;Pejaten Timur
05/03/22 10.00;Pejaten Timur
05/03/22 13.00;Pejaten Timur
05/03/22 15.00;Pejaten Timur
05/03/22 16.00;Jati Padang
05/03/22 17.00;Gandaria Utara
05/03/22 18.00;Kramat Pela
05/03/22 20.00;Kramat Pela
06/03/22 05.00;Kramat Pela
06/03/22 06.00;Kramat Pela
06/03/22 07.00;Senayan
06/03/22 08.00;Senayan
06/03/22 09.00;Senayan
06/03/22 11.00;Kebayoran Lama Selatan
06/03/22 13.00;Kebayoran Lama Selatan
06/03/22 15.00;Kebayoran Lama Selatan
06/03/22 16.00;Kebayoran Lama Selatan
06/03/22 17.00;Kramat Pela
06/03/22 18.00;Kramat Pela
06/03/22 20.00;Kramat Pela
07/03/22 05.00;Kramat Pela
07/03/22 06.00;Kramat Pela
07/03/22 07.00;Senayan
07/03/22 08.00;Senayan
07/03/22 09.00;Senayan
07/03/22 10.00;Melawai
07/03/22 13.00;Gandaria Utara
07/03/22 15.00;Gandaria Utara
07/03/22 16.00;Melawai
07/03/22 17.00;Kramat Pela
07/03/22 18.00;Kramat Pela
07/03/22 20.00;Kramat Pela